phrase,index,seconds
eP001,1,1.623
eP002,2,2.657
eP003,3,2.656
eP004,4,1.326
eP005,5,1.749
eP006,6,3.185
eP008,8,2.594
eP009,9,1.805
eP010,10,2.258
eP011,11,3.737
eP012,12,5.369
eP013,13,5.195
eP014,14,2.130
eP015,15,2.030
eP016,16,1.135
eP017,17,1.843
eP018,18,2.982
eP019,19,3.499
eP020,20,4.471
eP021,21,3.266
eP022,22,3.938
eP023,23,3.822
eP024,24,3.455
eP025,25,4.739
eP026,26,4.367
eP027,27,4.558
eP028,28,4.403
eP029,29,4.840
eP031,31,4.867
eP032,32,2.750
eP033,33,4.916
eP037,37,2.498
eP038,38,3.078
eP039,39,3.291
eP040,40,4.028
eP041,41,3.824
eP042,42,2.812
eP043,43,3.697
eP060,60,2.222
eP061,61,1.989
eP062,62,1.202
eP063,63,1.284
eP064,64,2.744
eP065,65,4.037
eP066,66,3.166
eP067,67,3.414
eP068,68,2.022
eP069,69,2.973
eP070,70,1.228
eP071,71,1.264
eP072,72,1.761
eP084,84,1.638
eP085,85,2.579
eP086,86,2.590
eP087,87,2.313
eP088,88,2.576
eP089,89,2.152
eP090,90,3.033
eP091,91,3.104
eP092,92,2.867
eP093,93,3.190
eP094,94,1.736
eP095,95,2.617
eP096,96,2.688
eP097,97,2.451
eP098,98,1.955
eP099,99,2.836
eP100,100,2.907
eP101,101,2.775
eP102,102,3.011
eP103,103,3.732
eP104,104,4.613
eP105,105,4.684
eP106,106,4.447
eP107,107,4.770
eP108,108,4.028
eP109,109,4.909
eP110,110,4.980
eP111,111,4.849
eP112,112,5.085
eP113,113,1.442
eP114,114,2.679
eP115,115,2.750
eP116,116,2.539
eP117,117,2.498
eP118,118,2.139
eP119,119,3.019
eP120,120,3.219
eP121,121,2.853
eP122,122,3.176
eP123,123,2.581
eP124,124,3.422
eP125,125,3.533
eP126,126,3.296
eP127,127,3.619
eP128,128,1.960
eP129,129,2.775
eP130,130,2.846
eP131,131,2.675
eP132,132,2.998
eP133,133,1.960
eP134,134,2.841
eP135,135,3.300
eP136,136,3.136
eP137,137,3.372
eP138,138,1.737
eP139,139,2.834
eP140,140,2.689
eP141,141,2.774
eP142,142,2.793
eP143,143,2.097
eP144,144,2.978
eP145,145,3.049
eP146,146,2.812
eP147,147,3.135
eP148,148,1.981
eP149,149,2.862
eP150,150,2.933
eP151,151,2.656
eP152,152,3.019
eP153,153,1.097
eP154,154,2.810
eP155,155,2.881
eP156,156,2.644
eP157,157,2.967
eP158,158,2.153
eP159,159,3.034
eP160,160,3.105
eP161,161,2.974
eP162,162,3.209
eP163,163,1.925
eP164,164,2.806
eP165,165,2.501
eP166,166,2.264
eP167,167,2.963
eP168,168,1.637
eP169,169,2.458
eP170,170,2.873
eP171,171,2.458
eP172,172,2.694
eP173,173,2.514
eP174,174,3.395
eP175,175,3.466
eP176,176,2.938
eP177,177,3.174
eP178,178,1.850
eP179,179,3.025
eP180,180,3.096
eP181,181,2.819
eP182,182,2.888
eP183,183,2.757
eP184,184,2.360
eP185,185,1.974
eP186,186,2.855
eP187,187,3.288
eP188,188,2.678
eP189,189,3.031
eP190,190,2.254
eP191,191,3.135
eP192,192,3.420
eP193,193,2.958
eP194,194,3.311
eP195,195,1.918
eP196,196,2.799
eP197,197,3.812
eP198,198,2.622
eP199,199,2.975
eP200,200,1.494
eP201,201,1.903
eP202,202,1.677
eP203,203,1.266
eP204,204,1.209
eP205,205,1.943
eP206,206,2.161
eP207,207,1.913
eP208,208,2.236
eP209,209,1.046
eP210,210,1.877
eP211,211,1.998
eP212,212,1.750
eP213,213,2.013
eP214,214,1.364
eP215,215,2.245
eP216,216,2.316
eP217,217,2.068
eP218,218,2.470
eP219,219,1.586
eP220,220,2.467
eP221,221,2.538
eP222,222,2.290
eP223,223,2.700
eP224,224,1.399
eP225,225,2.348
eP226,226,2.318
eP227,227,2.519
eP228,228,3.063
eP229,229,3.310
eP230,230,2.835
eP231,231,3.147
eP232,232,1.693
eP233,233,2.534
eP234,234,2.357
eP235,235,1.788
eP236,236,2.075
eP237,237,2.494
eP238,238,2.904
eP239,239,1.347
eP240,240,1.225
eP241,241,1.342
eP242,242,3.697
eP243,243,1.991
eP244,244,0.692
eP245,245,2.238
eP246,246,2.146
eP247,247,1.895
eP248,248,1.676
eP249,249,2.725
eP250,250,2.508
eP251,251,2.136
eP252,252,4.715
eP253,253,5.647
eP254,254,4.984
eP255,255,4.687
eP256,256,2.620
eP257,257,5.009
eP258,258,5.932
eP259,259,6.438
eP262,262,1.868
eP263,263,2.735
eP264,264,2.176
eP265,265,2.835
eP266,266,2.986
eP267,267,3.821
eP268,268,2.593
eP269,269,3.468
eP270,270,2.315
eP271,271,3.163
eP272,272,2.494
eP273,273,2.167
eP274,274,1.707
eP275,275,2.951
eP260,260,2.334
eP261,261,1.069
eP276,276,1.538
eP277,277,0.617
eP278,278,1.535
eP279,279,20.794
eP280,280,16.788
eP281,281,22.866
eP282,282,23.110
eP283,283,14.756
eP284,284,14.981
eP285,285,17.542
eP286,286,17.566
eP287,287,17.455
eP288,288,16.515
eP300,300,7.022
eP301,301,4.830
eP302,302,7.281
eP303,303,0.935
eP304,304,1.665
eP305,305,1.895
eP306,306,2.657
eP307,307,1.676
eP308,308,1.221
eP309,309,1.664
eP310,310,2.504
eP311,311,1.997
eP312,312,1.488
eP313,313,2.478
eP314,314,4.748
eP315,315,3.492
eP316,316,4.589
eP317,317,5.087
eP318,318,1.324
eP319,319,1.069
eP320,320,1.337
eP321,321,2.643
eP322,322,2.449
eP323,323,1.252
eP324,324,0.947
eP325,325,1.240
eP326,326,1.452
eP327,327,1.266
eP328,328,1.451
eP329,329,1.704
eP330,330,1.315
eP331,331,1.460
eP332,332,1.439
eP333,333,1.665
eP334,334,1.373
eP335,335,1.659
eP336,336,1.629
eP337,337,1.123
eP338,338,4.768
eP339,339,4.564
eP340,340,4.670
eP341,341,6.832
eP342,342,5.636
eP700,700,3.218
eP701,701,3.389
eP702,702,3.744
eP703,703,4.365
eP704,704,1.725
eP705,705,3.727
eP706,706,3.387
eP707,707,3.493
eP708,708,3.593
eP709,709,5.738
eP710,710,1.840
eP711,711,2.522
eP712,712,3.287
eP713,713,1.361
eP714,714,2.061
eP715,715,1.784
eP716,716,1.901
eP717,717,0.972
eP718,718,1.412
eP719,719,1.337
eP720,720,1.280
eP721,721,1.892
eP722,722,5.223
eP723,723,1.549
eP724,724,2.047
eP725,725,1.415
eP726,726,4.604
eP727,727,2.058
eP728,728,2.451
eP729,729,2.080
eP730,730,2.463
eP731,731,2.620
eP732,732,2.591
eP733,733,4.169
eP734,734,2.824
eP735,735,2.307
eP736,736,1.667
eP737,737,1.623
eP738,738,2.913
eP739,739,2.779
eP740,740,2.724
eP741,741,3.590
eP742,742,3.476
eP743,743,3.629
eP744,744,3.853
eP745,745,3.565
eP746,746,3.531
eP747,747,2.579
eP748,748,3.812
eP749,749,2.304
eP750,750,2.584
eP751,751,4.070
eP752,752,2.059
eP753,753,3.111
eP754,754,3.649
eP755,755,4.180
eP756,756,4.175
eP757,757,4.686
eP758,758,4.905
eP759,759,1.898
eP760,760,1.668
eP761,761,1.872
eP762,762,2.857
eP763,763,2.399
eP764,764,2.993
eP765,765,2.797
eP766,766,2.826
eP767,767,2.364
eP768,768,2.557
eP769,769,2.802
eP770,770,3.020
eP771,771,2.877
eP772,772,2.731
eP773,773,2.197
eP774,774,2.980
eP775,775,2.519
eP776,776,2.067
eP777,777,2.292
eP778,778,3.063
eP779,779,2.308
eP780,780,1.964
eP781,781,2.309
eP782,782,2.725
eP783,783,2.249
eP784,784,3.148
eP785,785,2.126
eP786,786,2.799
eP787,787,3.557
eP788,788,2.621
eP789,789,2.570
eP790,790,3.511
eP791,791,2.075
eP792,792,1.914
eP793,793,3.436
eP794,794,1.951
eP795,795,3.675
eP796,796,4.583
eP797,797,2.164
eP798,798,1.815
eP799,799,1.686
eP800,800,1.341
eP801,801,2.708
eP802,802,3.483
eP073,73,1.493
eP074,74,1.817
eP076,76,1.558
eP077,77,1.876
eP078,78,1.639
eP079,79,1.349
eP080,80,1.699
eP081,81,1.714
eP082,82,1.785
eP083,83,1.846
